1644515906921	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=839.0, y[0]=347.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90101052, downTime=90100949, deviceId=6, source=0x1002, displayId=0 }
1644515906945	PolyGesture	InputEvent	SelectionChanged 302 302

1644515906948	PolyGesture	InputEvent	SelectionChanged 257 302

1644515906962	PolyGesture	InputEvent	BeginBatchEdit

1644515906965	PolyGesture	InputEvent	BeginBatchEdit

1644515906966	PolyGesture	InputEvent	BeginBatchEdit

1644515906968	PolyGesture	InputEvent	BeginBatchEdit

1644515907168	PolyGesture	InputEvent	BeginBatchEdit

1644515907170	PolyGesture	InputEvent	BeginBatchEdit

1644515907196	PolyGesture	InputEvent	BeginBatchEdit

1644515907588	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=856.0, y[0]=304.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90101711, downTime=90101711, deviceId=6, source=0x1002, displayId=0 }
1644515907639	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=856.0, y[0]=304.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90101770, downTime=90101711, deviceId=6, source=0x1002, displayId=0 }
1644515907650	PolyGesture	InputEvent	SelectionChanged 263 263

1644515907652	PolyGesture	InputEvent	SelectionChanged 257 263

1644515907668	PolyGesture	InputEvent	BeginBatchEdit

1644515907671	PolyGesture	InputEvent	BeginBatchEdit

1644515907671	PolyGesture	InputEvent	BeginBatchEdit

1644515907673	PolyGesture	InputEvent	BeginBatchEdit

1644515907876	PolyGesture	InputEvent	BeginBatchEdit

1644515908819	PolyGesture	InputEvent	BeginBatchEdit

1644515908821	PolyGesture	InputEvent	SelectionChanged 263 263

1644515908833	PolyGesture	InputEvent	SelectionChanged 0 0

1644515908835	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 0 522 522

1644515908842	PolyGesture	InputEvent	SelectionChanged 257 257

1644515908843	PolyGesture	InputEvent	TextChanged 'It was a lovely night, so warm that he threw his coat over his arm and did not even put his silk scarf  round his throat. As he strolled home, smoking his cigarette, two young men in evening dress passed him. He heard one of them whisper to the other, That  is Dorian Gray. He remembered how pleased he used to be when he was pointed out, or stared at, or talked about. He was tired of hearing his own name now. Half the charm of the little XXXXXX village where he had been so often lately was that no one knew who he was.' 257 6 0

1644515908848	PolyGesture	InputEvent	SelectionChanged 257 257

1644515908861	PolyGesture	InputEvent	BeginBatchEdit

1644515908865	PolyGesture	InputEvent	BeginBatchEdit

1644515908867	PolyGesture	InputEvent	BeginBatchEdit

1644515908873	PolyGesture	InputEvent	BeginBatchEdit

1644515908875	PolyGesture	InputEvent	BeginBatchEdit

1644515908877	PolyGesture	InputEvent	BeginBatchEdit

1644515908879	PolyGesture	InputEvent	BeginBatchEdit

1644515909079	PolyGesture	InputEvent	BeginBatchEdit

1644515910266	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=691.0, y[0]=545.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90104384, downTime=90104384, deviceId=6, source=0x1002, displayId=0 }
1644515910328	PolyGesture	InputEvent	TouchEvent (cursorPosition=257): MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=691.0, y[0]=545.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x40000, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=90104460, downTime=90104384, deviceId=6, source=0x1002, displayId=0 }
1644515910340	PolyGesture	InputEvent	SelectionChanged 440 440

1644515910359	PolyGesture	InputEvent	BeginBatchEdit

1644515910381	PolyGesture	InputEvent	BeginBatchEdit

